,Alameda,Alpine,Amador,Butte,Calaveras,Colusa ,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino ,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas ,Riverside,Sacramento ,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta ,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
Above Poverty,0.900888246331483,0.80269489894129,0.900547550432277,0.809287976337061,0.885751703624781,0.869599962393645,0.912969369137161,0.805301047120419,0.916171868301466,0.774531224657826,0.824940047961631,0.798814336571532,0.759115232005439,0.906901264092928,0.790023858273688,0.818004490081337,0.813908197032791,0.865302237029986,0.850893358121895,0.800642889734876,0.927722565575159,0.848092445270309,0.82200877643434,0.788033949558286,0.81192607230036,0.879281183932347,0.869336798916125,0.922161924317982,0.889555431073993,0.891383798666765,0.92258665438714,0.878695320170176,0.862965759028287,0.853282502625736,0.915723040031972,0.840468609979122,0.884121318181186,0.896640076901733,0.854935529041505,0.875004697517456,0.932891151904953,0.864590685374966,0.924836525480931,0.868741991579718,0.8330837219329,0.90341851974776,0.81190509355992,0.904542922141232,0.907778838148998,0.848851651279233,0.845259919506079,0.779386145513288,0.809676642862874,0.76213211277856,0.87249663579514,0.910628337444027,0.809202665111699,0.845213413410736
Employed,0.766257837230947,0.614391143911439,0.578956499110899,0.682537820229682,0.637900186531653,0.719763115936527,0.756274290589141,0.521664275466284,0.717579250720461,0.693681740801623,0.657520505104148,0.707738677643195,0.607628327635864,0.757063737914203,0.656625197612978,0.618642522938567,0.639704335016835,0.389744510798797,0.73662608671056,0.63086396638166,0.762670757635556,0.684530938123753,0.705913814180929,0.673808570284341,0.587026591458501,0.834256926952141,0.695047572578678,0.782414796201342,0.707821478958054,0.754459634343663,0.747523052464229,0.658161865569273,0.699479023675988,0.728446054758522,0.766592267631289,0.68871695045075,0.758275822577402,0.821379121104407,0.69358630382011,0.704270793459835,0.800029700617773,0.738233437833028,0.771170708265849,0.733406953276722,0.676062437801777,0.699469652327637,0.65390156062425,0.738134200508721,0.776022990099384,0.704584244181289,0.689982306849777,0.662113361595227,0.598729558048385,0.669317953046801,0.625696064706797,0.76049418897508,0.67709042375709,0.677497494153024
Per Capita Income,47314,36739,31987,29506,33456,26932,48178,23674,42749,24422,22668,28769,18018,32590,23326,22373,27362,22134,34156,22853,72466,28757,29035,23011,22843,34552,30073,45195,39233,41514,43759,35198,28596,32751,33174,25215,38073,68883,27521,37233,61545,36039,56248,41312,29720,33747,28615,35400,42178,26258,27371,24301,26523,21380,34702,38595,34515,25583
Bachelor's Education or Higher,0.474224456834109,0.345454545454545,0.192672058095395,0.272180002576114,0.183195592286501,0.150032901952182,0.423535718731977,0.147984117287721,0.342959103248971,0.211738397085429,0.141552002673946,0.30415409407006,0.152190692395006,0.271660102999091,0.163804692831337,0.14669163545568,0.155343988282428,0.129471589652885,0.325412105164955,0.145518676879223,0.594917096894482,0.245598591549296,0.244448028384808,0.137903085018829,0.151928783382789,0.288203888385212,0.247058055341933,0.357258483247305,0.372460526315789,0.405864351252338,0.397112393998454,0.237032944264107,0.223055269384801,0.308502012483229,0.197289388572309,0.209891753416949,0.388050054950411,0.580610645305107,0.187622337979057,0.353770312988134,0.50980246331332,0.34160571736001,0.524001504167172,0.408394444444444,0.221649647497708,0.179338842975207,0.231771984091913,0.269134900016134,0.355071052060315,0.170685570940499,0.182416248842334,0.156624857468643,0.195186351172946,0.146293914523993,0.20508909548712,0.337939755781852,0.414238239305253,0.170570232964837
High School Enrollment,0.952939587799402,0.933004926108374,0.950658772070198,0.950616548519688,0.953007264359518,0.935109855312515,0.940904819414544,0.941435673395601,0.943606568080175,0.934200782257481,0.933751352965327,0.957287023607937,0.923638991020808,0.953106143325096,0.928210641597255,0.918579766536965,0.944988111220743,0.94721653635784,0.945238828226169,0.924908905996376,0.947094803643068,0.964380648591175,0.948435496889986,0.928113148584678,0.948976049982645,0.95169881946444,0.935017136907258,0.945019920318725,0.95392044100428,0.943748694549616,0.943989676895374,0.963725490196078,0.934426639312467,0.943852494778118,0.930918049167054,0.93268316166679,0.947930041050381,0.972345722609694,0.933072660003561,0.958871859808459,0.951602456848627,0.947310050478872,0.947484174594605,0.951635621370412,0.94916214684692,0.964577656675749,0.951750416765897,0.94527058713187,0.949644865740922,0.933587403161516,0.935199826708545,0.937549702192577,0.958762051365146,0.923961587201194,0.957231149567367,0.939680224568398,0.946819038194378,0.946116558032535
Preschool Enrollment,0.982736513330845,0.987192118226601,0.994212407318504,0.984223139700592,0.992013716554618,0.98392361280265,0.983175414232093,0.985876770111479,0.985527590071709,0.983608981916148,0.990594558280148,0.984403119376125,0.978731958582674,0.986437561059709,0.98614510582354,0.986826014452474,0.989146434174983,0.991510352001611,0.983518755813411,0.986798946609821,0.984340504996954,0.994801819363223,0.985589478182422,0.981527706511213,0.987735739905126,0.997192628851137,0.98647847401987,0.987686291869559,0.987721097951444,0.982638449652844,0.983045957051183,0.984749455337691,0.987172115956521,0.984656119282516,0.9866659775699,0.984521863704658,0.983715857029725,0.984896265560166,0.983528230809457,0.987337350449742,0.981596573797213,0.984249284376766,0.980913797516546,0.987496516348682,0.987203802430873,0.997275204359673,0.991497975708502,0.985556180829113,0.986383602661499,0.984436620666183,0.984577060543702,0.984939221318792,0.994976909989468,0.985817022757831,0.986060663687363,0.982261979363259,0.984589986107675,0.979186065618667
PM 2.5,8.789539456426159,,8.158545634933526,8.25429281382155,8.725444894106056,7.593515808813824,8.74285275153894,5.831370152117958,7.163380044638196,13.161271281405318,7.663708036198586,6.076671110843864,9.481219958145246,4.415903144509813,13.676800168041408,13.617368873026807,3.8156871613657484,4.973789961357895,11.656358812065328,11.71278833347109,8.339017297815529,8.520506768509401,6.69699032440124,11.665795695362347,4.608053134445135,3.285748551914597,5.465687549343763,9.179751267418293,6.610682083614406,11.298173062758533,7.798450440172131,7.9112205462968666,10.180173023077327,8.74698605125393,4.985027987747617,11.120595437835597,9.602895911189536,8.619570539692873,10.54329094735736,7.359816560972161,8.352425379114116,7.657187222130411,8.219908515410213,6.147464281196904,8.43064620029816,6.421772125,3.4161217456391957,8.478399786649923,7.223082829471493,11.289953858950764,9.174672073954781,6.910439417946112,3.9603831053952407,13.482257891757696,7.439864515608184,9.016888623143513,8.706815234181352,8.260122470040919
Ozone,0.03467276370369525,,0.05212549992557917,0.050679503714556595,0.054336020466923395,0.04469812554395451,0.0385869563433078,0.02908535136831292,0.055505971836176636,0.0603873279518483,0.04564411411924508,0.02888435609114548,0.049015290494803986,0.04459074490626918,0.06353028673705145,0.059474438611952285,0.03830400148251421,0.0483346289200219,0.051738949489933427,0.05785503489184242,0.032991415042997865,0.05693591970606946,0.036480212115358186,0.05525287503326214,0.04715952120921053,0.04603644562613554,0.0363695565479826,0.03854266993446219,0.05698518571792753,0.04812494082587644,0.052856682849479066,0.053142429762980385,0.06295399102633314,0.047987727103625,0.04030319694729696,0.0659953445251742,0.045696379881519214,0.03114381913402828,0.04737509139445673,0.03988368864487836,0.033660979904615855,0.03721435900168894,0.03992204874652381,0.03739656586899852,0.04667917110113375,0.05386811999999999,0.04369247385571341,0.04042760145495675,0.03411934946637669,0.05392735674968792,0.04739135991512531,0.049197767845005576,0.04395124036168043,0.06252385432576706,0.056120884063955274,0.04632629314698995,0.046335189209278274,0.047406082780513455
Drinking Water Contaminants,188.72075877710947,,521.389957882108,329.86968361162155,401.16238134565936,323.93578456430276,230.20947966669365,381.8956552238342,315.76777965715206,712.9845711554619,395.30109776741534,219.73792519445726,433.3683210261602,427.5592677310681,688.9738224167069,503.65051691354097,418.5617630665628,327.2614345464135,604.0395007916043,637.44675503926,202.55985854620138,482.3646925315521,271.4326682002669,699.9248779176461,351.32665626609247,503.8123707394487,504.248508911845,470.7837558205383,394.35796886837244,430.61027388969467,205.4431519604247,349.35175019816137,484.6169451713917,411.38846589095766,508.3880789570574,604.7514277494271,347.48314357709023,259.8665637605649,660.8540476242047,538.827590421013,366.27305135510414,351.790501502846,342.7213433724109,370.43788394640177,311.3639253052316,564.868557,319.42829214485215,324.75509450372215,331.26167956738914,866.4170773221152,564.9273047824137,384.9637442021107,249.56968789447674,710.6368385054229,565.5501853240372,533.0771089564171,377.84483824047527,518.787044932497
Park Access,0.9317428114653247,,0.3695220360024852,0.6194045454545227,0.4216895948565245,0.6781362341846029,0.822041814861454,0.49579615963578194,0.6576732810849807,0.6006691362277544,0.3619586089182833,0.6152736886378635,0.7882620841551062,0.9973579208454653,0.6419154536798537,0.5636673336258863,0.396814350885326,0.6234408693078508,0.7438630817021024,0.43448280769664566,0.978950741733831,0.32932093136361457,0.43945310276518423,0.6593212799710104,0.39092744329651996,0.9809181805379511,0.8039199553201594,0.7511733916086055,0.45241180997125163,0.8760797631893011,0.7575803954579197,0.645571109281261,0.5950592465731191,0.9028426752374085,0.5233856230436724,0.6015377663913279,0.8178964310151501,0.9907423506498846,0.8151029795393638,0.6161654180021587,0.8908638167390706,0.828537111720886,0.8726804103235763,0.8148158383008959,0.43664583202999,0.8765432098765432,0.5449360817766347,0.8756751674464807,0.7547976969401241,0.8335144318334098,0.6652142182536223,0.2544159589051894,0.9478573101241112,0.5969742119823013,0.5740222114920325,0.8635017053560993,0.910935888819915,0.6733836878941262
